Sku Code,개수: 오더번호,합계: pcs출하,zone 할당
W00301,327,532,PLT
W00501,401,545,PLT
W90878,503,1484,PLT
W00591,309,451,PLT
W00160,297,391,1.0
W00510,288,418,5.0
W00801,234,387,10.0
W90873,184,265,2.0
W00111,178,243,4.0
W00631,171,247,9.0
W00601,169,222,3.0
W00531,162,274,6.0
W00511,158,265,7.0
W00975,149,214,8.0
W00321,146,188,8.0
W00861,139,213,7.0
W00521,128,186,6.0
W00121,126,155,3.0
W00276,121,185,9.0
W00681,121,147,4.0
W00227,118,129,2.0
W00641,116,165,10.0
W90673,111,214,5.0
W00179,107,130,1.0
W00174,105,122,1.0
W00661,101,134,5.0
W90189,99,489,10.0
W00828,97,119,2.0
W90672,90,146,4.0
W00196,88,104,9.0
W00554,85,153,3.0
W00281,84,118,6.0
W00190,80,94,7.0
W00266,75,86,8.0
W00109,70,87,8.0
W90574,69,154,10.0
W00755,69,81,9.0
W00541,68,105,2.0
W00564,68,110,6.0
W90943,68,224,8.0
W00311,67,85,7.0
W00271,65,105,7.0
W00178,65,83,9.0
W00261,63,108,10.0
W00691,62,71,2.0
W00835,61,99,8.0
W00483,60,74,4.0
W00620,60,74,6.0
W00756,59,70,4.0
W00192,58,75,3.0
W90879,58,95,8.0
W00291,57,79,4.0
W00217,57,61,3.0
W00973,54,73,1.0
W90946,53,181,7.0
W90671,53,81,4.0
W00173,53,66,7.0
W90908,52,73,2.0
W00517,51,58,5.0
W00971,51,56,2.0
W00247,50,51,5.0
W00331,48,68,3.0
W90174,47,62,9.0
W00460,46,78,3.0
W02406,45,219,9.0
W00198,43,51,5.0
W00289,42,48,6.0
W00465,41,70,4.0
W00545,41,47,5.0
W00257,40,43,8.0
W90801,39,71,9.0
W90927,39,49,6.0
W92018,38,53,6.0
W00542,37,48,10.0
W00177,36,41,2.0
W01997,36,50,3.0
W00871,35,41,8.0
W00694,35,38,2.0
W00529,35,39,3.0
W00267,34,36,7.0
W00836,32,41,6.0
W90906,31,52,10.0
W00474,30,33,10.0
W00237,29,31,1.0
W01994,28,42,6.0
W00194,27,28,2.0
W01995,27,34,10.0
W01525,26,26,7.0
W00288,24,25,8.0
W00666,24,28,6.0
W00528,24,29,0.0
W00351,23,26,6.0
W00170,23,71,9.0
W01235,22,28,1.0
W00776,21,23,2.0
W90941,20,41,4.0
W00965,20,21,7.0
W01527,20,21,1.0
W00982,20,22,1.0
W01999,20,26,6.0
W00482,20,23,3.0
W00180,20,21,9.0
W00696,19,23,4.0
W00481,19,21,10.0
W00834,19,24,9.0
W00396,18,24,10.0
W00682,18,21,1.0
W00466,18,19,3.0
W01416,17,29,5.0
W90955,17,34,1.0
W01404,17,22,7.0
W00471,17,26,7.0
W00467,17,21,3.0
W00472,16,18,3.0
W00779,15,16,4.0
W90825,15,22,8.0
W01528,14,14,7.0
W92619,14,42,2.0
W01422,14,17,5.0
W00473,13,14,1.0
W00778,13,15,4.0
W90824,13,28,3.0
W02618,13,32,1.0
W01529,12,12,1.0
W00207,12,12,10.0
W00183,12,12,9.0
W00003,12,12,5.0
W00777,12,12,4.0
W00749,12,12,0.0
W70765,11,12,9.0
W00667,11,11,4.0
W00490,11,11,3.0
W90813,10,21,8.0
W00549,10,11,4.0
W00485,8,8,10.0
W90821,8,15,2.0
W90812,8,11,5.0
W00839,7,8,6.0
W00766,6,6,9.0
W90548,6,6,2.0
W02404,6,21,8.0
W00649,6,6,2.0
W00746,5,5,2.0
W01398,5,5,1.0
W92472,5,5,1.0
W90822,5,6,1.0
W00447,5,5,4.0
W00657,4,5,9.0
W92675,4,9,0.0
W01812,4,5,10.0
W00769,4,4,7.0
W01405,4,4,1.0
W00767,3,3,10.0
W90915,3,3,10.0
W00463,2,3,3.0
W90814,2,2,5.0
W90880,2,2,6.0
W00462,2,2,3.0
W02704,2,2,5.0
W02705,1,1,10.0
W02431,1,1,6.0
